gene1|gene2|experiment_type|reference
RIPK1|TRAF5|in vivo|11479302
RIPK2|TRAF5|in vivo|9642260
TNFRSF11A|TRAF5|in vitro|9774460,10025951
TNFRSF13B|TRAF5|in vitro;in vivo|10880535
TRIM37|TRAF5|in vitro|11279055
ATP6V1E1|ATP6V1G1|yeast 2-hybrid|16169070
IL8RB|ST13|in vivo|11751889
ANPEP|TM4SF1|in vitro;in vivo|15812828
EMILIN1|EMILIN1|in vivo|10821830
PIK3R2|PIK3CD|in vivo|9113989
KIF3C|KIF3C|in vivo|9450952,9487132
KIF3A|KIF3C|in vivo|9450952
NEDD8|HIP2|in vitro|9857030
TRIM3|HIP2|in vitro;in vivo;yeast 2-hybrid|11513855
PIAS4|HIP2|yeast 2-hybrid|15383276
TRRAP|BRD8|in vitro;in vivo|12963728
THRB|BRD8|in vitro;in vivo;yeast 2-hybrid|9368056
C20orf20|BRD8|in vitro|12963728
GNAS|GNGT1|in vitro|15368366
TCF20|RNF4|in vitro;yeast 2-hybrid|10849425
TRPS1|RNF4|in vitro;in vivo;yeast 2-hybrid|12885770
PATZ1|RNF4|in vitro;in vivo;yeast 2-hybrid|10713105,11719514
RAF1|ARRB2|in vitro|11226259
BMP15|GDF9|in vitro|14970198,12446716
DST|KRT5|yeast 2-hybrid|12802069
DST|KRT14|yeast 2-hybrid|12802069
RGS10|CALM1|in vitro|10747990
RACGAP1|CHN2|in vitro|11278894
MAPK1|ARRB2|in vitro|11226259
SNCG|BUB1B|in vitro;in vivo;yeast 2-hybrid|14576821
CDC16|BUB1B|in vivo|10477750
CDC20|BUB1B|in vitro;in vivo;yeast 2-hybrid|11030144,11535616,11274370,11907259
BUB3|BUB1B|in vitro;in vivo|9660858
AP4B1|BUB1B|yeast 2-hybrid|12419313
ANAPC7|BUB1B|in vivo|10477750
C1RL|HP|in vitro|15385675
PKP2|PKP2|in vitro|10852826
POLR3A|PKP2|in vitro|11416169
GNAI2|AGTR2|in vitro|8663053,11055978
GNAI3|AGTR2|in vitro|8663053,11055978
SMPDL3A|DBC1|in vitro;in vivo;yeast 2-hybrid|12442002
ACCN2|ACCN2|in vitro|11512022
PICK1|ACCN2|in vitro;in vivo;yeast 2-hybrid|12578970,11802773,11739374
VPS24|IGFBP7|in vivo|11549700
HRAS|AGTR1|in vitro;in vivo|8753867
TTF2|CDC5L|in vitro;in vivo;yeast 2-hybrid|12927788
YWHAG|CDC5L|in vivo|15324660
CDT1|CDC5L|in vitro|15232106
PLRG1|CDC5L|in vitro;in vivo|11101529,14576297,11544257
GNAI2|IL8RB|in vivo|8662698
PRMT1|HNRPU|in vitro|11850402
AGTR1|RAF1|in vitro;in vivo|8753867
BTRC|HNRPU|in vivo|11850407
ABL1|CAV1|in vivo|16151024
PRKCE|ITGB1|in vitro|15949469
YAP1|HNRPU|in vitro;in vivo|15096513
GRIN1|HNRPU|in vivo|10862698
DPM2|DPM1|in vivo|10835346
DPM3|DPM1|in vivo|10835346
FZR1|CDC14A|in vitro|11598127
SIRT2|CDC14B|in vitro;in vivo|12697818
AXIN1|LRP5|in vivo|11336703
DKK1|LRP5|in vivo|11516963
MESDC2|LRP5|in vivo|12581525
DKK1|LRP6|in vivo|11357136,11448771
DKK2|LRP6|in vivo|11742004,11357136
IRS4|IRS4|in vitro;in vivo|9614078
SOCS6|IRS4|in vitro|12052866
NISCH|IRS4|in vivo|11912194
TSHR|GNAI3|in vivo|8552586
RNMT|RNGTT|in vitro|9705270
FYN|STAT1|in vivo|9804857
TSHR|GNA11|in vivo|8552586
TNFRSF10A|BCL10|in vivo|10400625
NLRC4|BCL10|in vitro;in vivo|11472070
CARD10|BCL10|in vitro;in vivo|11259443,11387339
CARD11|BCL10|in vitro;in vivo|11278692,11356195
CARD14|BCL10|in vitro|11278692
CARD9|BCL10|in vitro;in vivo|11053425
MALT1|BCL10|in vivo;yeast 2-hybrid|11090634
C9orf89|BCL10|in vitro;in vivo;yeast 2-hybrid|15637807
FASTK|TIA1|in vitro;in vivo|7544399
SNRPA1|SNRPB2|in vitro|9716128
SMN2|SNRPB2|in vitro|10556282,9323129
TSHR|PIK3R1|in vivo|12668683
SNRPC|SNRPC|in vitro;in vivo;yeast 2-hybrid|8532530
STAT5B|NMI|yeast 2-hybrid|9989503
LSM4|NMI|yeast 2-hybrid|15231747
HDAC2|MTA1|in vitro;in vivo|11146623
CCNH|MTA1|in vitro;in vivo|12527756
RBM8A|DPH1|yeast 2-hybrid|11013075
AP1S1|AP1S1|yeast 2-hybrid|9733768
AP1G1|AP1S1|yeast 2-hybrid|9733768
AP1G2|AP1S1|yeast 2-hybrid|9733768
AP2A2|AP1S1|in vitro;in vivo;yeast 2-hybrid|11707398
AP1M2|AP1S1|in vivo|10535737
AP1G1|AP1S2|yeast 2-hybrid|9733768
AP1G2|AP1S2|yeast 2-hybrid|9733768
GGA3|AP1S2|in vitro|12215646
RABEP1|AP1G1|in vitro|12505986
CLINT1|AP1G1|in vitro|12429846
AP1GBP1|AP1G1|in vitro;in vivo;yeast 2-hybrid|10814529,12042876,9653655
AP1M2|AP1G1|in vivo|10535737
AFTPH|AP1G1|yeast 2-hybrid|14665628
RABGEF1|AP1G1|yeast 2-hybrid|15143060
RABEP1|AP1G2|in vitro|12505986
AP1GBP1|AP1G2|in vitro|10477754
XRN1|AP1G2|yeast 2-hybrid|15231747
AFTPH|AP1G2|yeast 2-hybrid|14665628
VAMP4|AP1M1|in vitro;yeast 2-hybrid|14608369,11598115
AP1M2|AP1M1|in vivo|11157985,10535737
EHD2|AP1M1|in vitro|15182197
KCNQ3|KCNQ4|in vitro|10025409
ATF5|GABBR1|yeast 2-hybrid|11087824
CSDE1|PABPC1|in vivo|11051545
PABPC1|HNRPD|in vivo|11051545
AMBP|AMBP|in vitro|15452109
EED|ITGAE|yeast 2-hybrid|9765275
PPP1R15A|KIF3A|in vitro;in vivo;yeast 2-hybrid|10631107
NEK1|KIF3A|yeast 2-hybrid|14690447
YWHAG|AKAP13|in vivo|15324660
THRA|AKAP13|in vitro;in vivo|9627117
CTNNAL1|AKAP13|in vitro;in vivo;yeast 2-hybrid|12270917
ITGB5|MYO10|in vivo;yeast 2-hybrid|15156152
SYBL1|STX4|in vivo|14993220
GABRB1|AKAP5|in vitro|12595241
PTPN4|PRSS1|in vitro|8910369
AKAP5|GABRB3|in vitro;in vivo|12595241
SPA17|AKAP3|in vitro|15257753
ROPN1|AKAP3|in vitro;yeast 2-hybrid|11278869
ROPN1B|AKAP3|in vitro;yeast 2-hybrid|11278869
ROPN1L|AKAP3|yeast 2-hybrid|11278869
APOA4|APOA4|in vitro|15311933
SLC9A3R1|AKAP10|in vitro|14531806
ARL2BP|ARL3|in vitro;yeast 2-hybrid|11303027
CHRDL1|BMP4|in vitro;in vivo|11441185
GSK3B|AKAP11|in vitro;in vivo;yeast 2-hybrid|12147701
FGF13|SCN8A|in vivo;yeast 2-hybrid|15282281
ADCY7|PRKCD|in vitro|12454008
EEA1|TOM1|in vitro|14613930
TOLLIP|TOM1|in vitro;in vivo;yeast 2-hybrid|14563850
ZFYVE16|TOM1|in vitro;in vivo;yeast 2-hybrid|14613930
SRC|VIL1|in vitro|15342783
TOLLIP|TOM1L1|in vitro|15047686
NEDD9|BCAR3|in vivo|12517963
MERTK|MERTK|in vitro;in vivo|8702477
TTF2|MATR3|in vivo|12927788
PTPN6|TFG|in vitro;in vivo|15557341
PKN1|CDC25C|in vitro|15791647
FGF13|FGF13|in vitro|12496262
ISG15|UBE1L|in vivo;yeast 2-hybrid|14976209,16169070
CSF2RA|RPSA|in vitro|14614142
PTPN6|ACTN1|in vitro|15070900
CSF2RA|IKBKB|in vivo;yeast 2-hybrid|12637324
CYBB|IQGAP1|in vivo|16179592
TBC1D4|NFAT5|yeast 2-hybrid|12421765
TACC3|TTF2|yeast 2-hybrid|12927788
PRDX4|TTF2|yeast 2-hybrid|12927788
DCP1A|TTF2|yeast 2-hybrid|12927788
PDCD6IP|TTF2|yeast 2-hybrid|12927788
KIF4A|TTF2|in vivo|12927788
TNIP1|TTF2|yeast 2-hybrid|12927788
CLPB|TTF2|yeast 2-hybrid|12927788
TTRAP|TRAF5|in vivo|10764746
TNFRSF19|TRAF5|in vivo|10809768
WASL|WIPF1|in vitro;in vivo|12372256,10087612,12437929
HCRTR1|HCRT|in vitro;in vivo|9491897
HCRTR2|HCRT|in vivo|9491897
NPFFR2|HCRT|in vivo|12609745
PPAP2A|FXYD1|in vitro|10087003
PPP1CA|FXYD1|in vitro|10087003
SUMO2|RANGAP1|in vivo|9556629,16620772
UBE2I|RANGAP1|in vitro|11853669
IPO8|RANGAP1|in vitro|9214382
PXN|ILK|in vitro;in vivo|11694518,11304546
CCR5|GNAO1|in vivo|15251452
LIMS1|ILK|in vitro;in vivo;yeast 2-hybrid|10022929,11078733
GSK3B|ILK|in vitro|9736715
LIMS2|ILK|in vitro;in vivo|12167643
PARVA|ILK|in vitro;in vivo;yeast 2-hybrid|11331308,15284246,11694518
PARVB|ILK|in vitro;in vivo;yeast 2-hybrid|15467740,11402068
ILKAP|ILK|in vivo;yeast 2-hybrid|11331582
NPTXR|NPTX1|in vitro;in vivo|10748068
CCR5|GNAI2|in vivo|15251452
CCR5|GNAI3|in vivo|15251452
CCR5|JAK1|in vivo|10037796
NOX1|CYBA|in vitro;in vivo|15322091
CCR5|STAT1|in vivo|14674010
LMNA|PCGF2|in vitro;in vivo;yeast 2-hybrid|16248985
LMNA|UBE2I|in vitro;in vivo;yeast 2-hybrid|16248985
BMP3|COL4A1|in vitro|2211625
CCR5|STAT3|in vivo|14674010
CCR5|GNAQ|in vivo|15251452
BMP3|COL4A2|in vitro|2211625
FLT4|PTK2|in vitro;in vivo|16452200
MRPL12|MRPL12|in vitro;in vivo;yeast 2-hybrid|8626705,16169070
ITSN1|DNM1|in vitro;in vivo|10373452
GRIN2D|DNM1|in vivo|10862698
SH3GL3|DNM1|in vitro;in vivo|9238017
SH3GL2|DNM1|in vitro|11877424,9238017
NCK2|DNM1|in vitro;yeast 2-hybrid|11557983
PACSIN1|DNM1|in vitro;in vivo;yeast 2-hybrid|11082044,9950691
PACSIN3|DNM1|in vitro;yeast 2-hybrid|11082044
CLIC3|DNM1|in vitro|11563969
CLIC4|DNM1|in vitro|11563969
AP2A2|DNM1|in vitro|10430869
EPS15|DNM1|in vitro;in vivo|11483962
PREI3|DNM1|in vitro|11872741
FNBP1|DNM1|in vitro;in vivo|15252009
DNMBP|DNM1|in vitro;in vivo|14506234
GRIN1|DNM1|in vitro|10862698
PIAS1|DNM1|in vitro;yeast 2-hybrid|15123615
SHANK2|DNM2|in vitro;in vivo;yeast 2-hybrid|11583995
SHANK1|DNM2|in vitro;in vivo;yeast 2-hybrid|11583995
PDE6G|DNM2|in vivo|11502744
EPS15|DNM2|in vitro;in vivo|11483962
MPP6|DNM2|yeast 2-hybrid|15231747
SH3GLB1|DNM2|in vitro|12456676
MPHOSPH6|DNM2|yeast 2-hybrid|15231747
PTK2B|MAP3K4|in vitro|15881658
MAP3K4|ANXA2|in vitro|15881658
PPHLN1|PPL|yeast 2-hybrid|12853457
KIAA1026|PPL|in vitro;in vivo;yeast 2-hybrid|15337775
AKAP9|CLIC1|in vivo|12163479
LSM1|CLIC1|yeast 2-hybrid|14667819
RTN3|UGCG|yeast 2-hybrid|12873973
OCLN|OCLN|in vitro;in vivo|10026224
TJP2|OCLN|in vitro;in vivo|14512431,10575001
ITCH|OCLN|in vitro;in vivo;yeast 2-hybrid|11782481
TJP3|OCLN|in vitro;in vivo|9531559,10575001
CENTG1|EPB41L1|in vitro;in vivo;yeast 2-hybrid|11136977
STARD13|EPB41L1|in vivo;yeast 2-hybrid|14697242
GHRL|MLNR|in vitro|12606621
MLN|MLNR|in vitro;in vivo|11259768,10381885,11461914,12054506
DLG4|DLG4|in vitro;in vivo;yeast 2-hybrid|11937501,9182804,10995758
SHANK2|DLG4|in vitro;yeast 2-hybrid|10527873
LIN7A|DLG4|in vitro|10341223
FZD1|DLG4|in vivo;yeast 2-hybrid|12067714
DLG2|DLG4|in vivo|9182804
SEMA4F|DLG4|in vivo;yeast 2-hybrid|11483650
HGS|DLG4|in vivo;yeast 2-hybrid|12151521
FZD4|DLG4|in vivo;yeast 2-hybrid|12067714
AKAP5|DLG4|in vitro;in vivo|10939335
SHANK1|DLG4|in vitro;in vivo|10433268
KIF1B|DLG4|in vitro;in vivo;yeast 2-hybrid|12097473
ERBB2IP|DLG4|in vivo|11279080
LRRC1|DLG4|in vitro;in vivo;yeast 2-hybrid|11440998
CNKSR2|DLG4|in vitro;in vivo;yeast 2-hybrid|10207009
RAC1|CAV1|in vivo|15976327
NLGN1|DLG4|in vitro;yeast 2-hybrid|9278515
SEMA4C|DLG4|in vitro;in vivo;yeast 2-hybrid|11134026
NLGN2|DLG4|in vitro;yeast 2-hybrid|9278515
GDA|DLG4|in vitro;in vivo;yeast 2-hybrid|10595517
KCNA5|DLG4|in vitro;in vivo;yeast 2-hybrid|12435606
KCNJ12|DLG4|in vitro;in vivo|15024025
KCND2|DLG4|in vitro;yeast 2-hybrid|12435606
DLGAP2|DLG4|in vitro;yeast 2-hybrid|9286858,9115257
DLGAP1|DLG4|in vitro;in vivo;yeast 2-hybrid|9024696,9286858,9115257
CIT|DLG4|in vivo;yeast 2-hybrid|9870942
GRIN3A|DLG4|in vitro;in vivo;yeast 2-hybrid|7569905
GRIN3B|DLG4|in vitro;in vivo;yeast 2-hybrid|7569905
KIF13B|DLG4|in vitro|10859302
ZDHHC17|DLG4|in vitro|15603740
LIN7B|DLG4|in vivo|10341223
NDOR1|DLG4|in vitro;in vivo;yeast 2-hybrid|7569905
ACCN3|DLG4|in vivo;yeast 2-hybrid|15317815
SIPA1L1|DLG4|in vitro;in vivo;yeast 2-hybrid|11502259
GRIN1|DLG4|in vitro;in vivo|12068077,9502803,11506858,14732708,15030493,9009191
SYNGAP1|DLG4|in vitro;in vivo;yeast 2-hybrid|9581761
CAV1|SOS1|in vivo|15976327
GABBR2|GABBR1|in vitro;in vivo;yeast 2-hybrid|10075644,9872316
JAKMIP1|GABBR1|in vitro|14718537
DDX20|SNRPF|in vitro;in vivo|10601333
LSM5|SNRPF|yeast 2-hybrid|15231747
SMN2|SNRPF|in vitro|10556282
WDR77|SNRPF|in vitro|11756452
NCK1|PLCG1|in vivo|9314836
ARHGEF5|PLCG1|in vivo|9314836
DDX20|SNRPG|in vitro;in vivo|10601333
SMN2|SNRPG|in vitro|10556282
TACC1|SNRPG|in vitro;in vivo;yeast 2-hybrid|12165861
RAP1GAP|RALGDS|in vitro|12464615
MBD2|MBD2|in vitro;in vivo;yeast 2-hybrid|12183469,10947852
MBD3|MBD2|in vitro;in vivo;yeast 2-hybrid|10947852
HDAC2|MBD2|in vitro;in vivo|10471499
MIZF|MBD2|in vitro;in vivo;yeast 2-hybrid|11553631
SIN3A|MBD2|in vitro;in vivo;yeast 2-hybrid|10950960
XAB1|MBD2|in vivo;yeast 2-hybrid|12588985
GATAD2A|MBD2|in vitro;in vivo;yeast 2-hybrid|12183469
MBD3L1|MBD2|in vitro;in vivo;yeast 2-hybrid|15456747
GATAD2B|MBD2|in vitro;in vivo;yeast 2-hybrid|12183469,11756549
IRS2|PTPN6|in vivo|12198247
AGTR1|ARRB1|in vivo|11579203
SBF1|MTMR2|in vitro;in vivo|12668758
MBD3|MBD3|in vitro;in vivo;yeast 2-hybrid|12183469
MTA2|MBD3|in vitro|12124384
GATAD2A|MBD3|in vitro;in vivo;yeast 2-hybrid|12183469
MBD3L1|MBD3|in vitro;yeast 2-hybrid|15456747
GATAD2B|MBD3|in vitro;in vivo;yeast 2-hybrid|12183469,11756549
RECQL5|TOP3B|in vivo|10710432
FBLN5|TOP3B|yeast 2-hybrid|11549288
ZFPM1|TOP3B|yeast 2-hybrid|15231747
CHD8|TOP3B|yeast 2-hybrid|11549288
ZNF408|TOP3B|yeast 2-hybrid|15231747
STAT3|HES1|in vitro;in vivo|15156153
DLG2|DLG2|in vivo|9677374
FZD4|DLG2|yeast 2-hybrid|12067714
CRIPT|DLG2|in vitro;in vivo;yeast 2-hybrid|9581762,12070168
SEMA4C|DLG2|in vitro;in vivo;yeast 2-hybrid|11134026
KCNJ12|DLG2|in vitro;in vivo|15024025
GRIN1|DLG2|in vivo|10862698
MADD|MADD|in vivo|10825539
VPS13D|MADD|yeast 2-hybrid|12421765
NPDC1|MADD|in vitro;yeast 2-hybrid|10970871
TRIM63|USP13|in vitro;yeast 2-hybrid|11927605
TRIM55|USP13|yeast 2-hybrid|11927605
TRIM8|SOCS1|in vivo|12163497
TNFRSF10A|TNFSF10|in vitro;in vivo|10549288,9082980
TNFRSF10B|TNFSF10|in vitro;in vivo|9311998,10549288,15110168
TNFRSF10C|TNFSF10|in vitro;in vivo|9613612,9314565
TNFRSF10D|TNFSF10|in vitro;in vivo|9430226
ASCL1|EP300|in vivo|11564735
STAT3|GATA2|in vitro;in vivo|15673499
TNFRSF10B|CFLAR|in vitro|11193041
DEDD|CFLAR|in vitro|11741985
DEDD2|CFLAR|in vitro;in vivo|11965497,11741985
RPGR|DCTN1|in vivo|16043481
NAGK|STK16|in vitro;in vivo;yeast 2-hybrid|11741987
SLC9A7|SCAMP2|in vitro;in vivo;yeast 2-hybrid|15840657
SIRT1|HIST1H1B|in vitro|15469825
ABAT|ABAT|in vitro|15528998
NPR2|NPR2|in vitro|8765168
SLC9A7|SCAMP1|in vitro;in vivo|15840657
SLC9A7|SCAMP5|in vitro;in vivo|15840657
CTDP1|GTF2F1|in vitro;yeast 2-hybrid|9765293,12732728
NPR1|NPR1|in vivo|12547834
RPGR|KIF3A|in vivo|16043481
KIRREL|NPHS2|in vitro;in vivo|12424224
KIRREL3|NPHS2|in vivo|12424224
MAP3K13|PRDX3|in vivo;yeast 2-hybrid|12492477
RPGR|SLC25A10|in vivo|16043481
RPGR|DCTN2|in vivo|16043481
CCBP2|CCL27|in vivo|11821900,10725697,10725696
ACTB|CFL1|yeast 2-hybrid|16189514
ACTB|CFL2|yeast 2-hybrid|16189514
ACTB|DSTN|yeast 2-hybrid|16189514
APEH|APEH|yeast 2-hybrid|16189514
APEH|KIAA0174|yeast 2-hybrid|16189514
APEH|UBE1DC1|yeast 2-hybrid|16189514
ARF1|EEF1G|yeast 2-hybrid|16169070
ACY1|TTC1|yeast 2-hybrid|16189514
APLP1|NP|yeast 2-hybrid|16169070
APLP1|TK1|yeast 2-hybrid|16169070
APLP1|ZNF24|yeast 2-hybrid|16169070
APLP1|SAT1|yeast 2-hybrid|16169070
CCR1|JAK1|in vivo|14674010
RPGR|KIFAP3|in vivo|16043481
NPR1|NPPA|in vivo|12547834
RBP1|LRAT|in vitro|1322170
RPGR|IFT88|in vivo|16043481
PPIB|IRF3|in vitro|15764595
ACTB|ACTB|yeast 2-hybrid|16189514
SCGB3A1|MARCO|in vivo|12847263
SCGB3A2|MARCO|in vivo|12847263
SYNCRIP|PCSK7|in vivo|11051545
CSDE1|PCSK7|in vivo|11051545
PCSK7|HNRPD|in vivo|11051545
NFE2|MAFF|in vitro|8107826
UNC13B|RPH3AL|in vitro|14593078
RAB3C|RPH3AL|in vitro|15159548
RIMS2|RPH3AL|in vivo;yeast 2-hybrid|10707984
GTF3C4|GTF3C2|in vitro;in vivo|10523658
NEK9|NEK6|in vitro;in vivo|12101123,12840024
NEK6|CDK7|in vitro|12023960
NEK6|RPS6KB1|in vitro;in vivo|11516946,12023960
LTBP1|FBN1|in vitro;in vivo|12429738
UPK3A|UPK1B|in vivo|12475947
UPK3B|UPK1B|in vitro;in vivo|12446744
PLD1|PLD1|in vitro|12376551
PIP5K1A|PLD1|in vivo|11032811
PEA15|PLD1|in vitro;in vivo;yeast 2-hybrid|10926929
ARIH1|PLD1|yeast 2-hybrid|10926929
PKN3|PLD1|in vitro;in vivo|11259428
DPYSL2|PLD2|in vitro;in vivo|11741937
PIP5K1A|PLD2|in vitro;in vivo|11032811
PEA15|PLD2|in vivo|10926929
AQP3|PLD2|in vitro;in vivo|14675200
LTBP1|FBN2|in vitro;in vivo|12429738
ALPPL2|ALPP|in vitro|12372831
ALPPL2|ALPPL2|in vitro|12372831
SERPINA3|HOXB1|in vivo|123121
MSX1|TP53|in vivo;yeast 2-hybrid|15705871
ATP6V1A|TUFM|in vitro|11741979
LGALS1|ITGB1|in vitro|14550305
USP4|NOLC1|in vivo|11571651
YWHAG|NOLC1|in vivo|15324660
GTF2B|NOLC1|in vitro|12167624
POLR1A|NOLC1|in vitro;in vivo|10567578
MAPK12|MAPK12|in vitro|10567720
MAPK12|EEF2K|in vitro|12171600
MAPKAPK5|MAPK12|in vitro;in vivo|9628874
MAPK12|SH3BP5|in vitro|15158451
UBE2I|BLMH|in vivo;yeast 2-hybrid|9855622
RPL11|BLMH|in vitro;yeast 2-hybrid|10353821
HAND1|HAND1|in vitro;yeast 2-hybrid|10924525,15509787
HAND2|HAND1|in vitro|11812799,10924525
FHL2|HAND1|in vitro;in vivo|15509787
HEY2|HAND1|in vitro;yeast 2-hybrid|10924525
PPP2R5D|HAND1|in vitro|14636580
HEYL|HAND1|in vitro;yeast 2-hybrid|10924525
KDR|FYN|in vitro|7929439
HAND2|HAND2|in vitro;yeast 2-hybrid|11812799
EP300|HAND2|in vitro;in vivo|11994297
PHOX2A|HAND2|in vitro;in vivo|14506227
HEY2|HAND2|in vitro;yeast 2-hybrid|10924525
COPS5|HAND2|yeast 2-hybrid|11812799
GATA4|HAND2|in vitro;in vivo|11994297
PPP2R5D|HAND2|in vitro;yeast 2-hybrid|14636580
HEYL|HAND2|in vitro;yeast 2-hybrid|10924525
KDR|YES1|in vitro|7929439
MLLT10|MLLT10|in vitro;in vivo|10860745
RGPD5|MLLT10|in vitro;yeast 2-hybrid|11774384
CCS|APBA1|in vitro;in vivo|11115513
KCNJ12|APBA1|in vitro;in vivo|15024025,14960569
LIN7B|APBA1|in vivo|9753324
KIF17|APBA1|in vivo|12514209
CNTNAP3|APBA1|in vitro;in vivo|12093160
NRXN1|APBA1|in vitro|11036064
CNTNAP4|APBA1|in vitro;in vivo|12093160
AP3B1|AP3S2|in vivo|9182526
POMP|KCNA10|in vitro|12060596
CFTR|CFTR|in vitro;in vivo;yeast 2-hybrid|11707463,11051556,10893422,12471024
DLGAP4|DLG4|in vitro;yeast 2-hybrid|9115257
GRASP|DLG4|in vitro;in vivo;yeast 2-hybrid|12586822
TANC1|DLG4|in vitro|15673434
IL8RB|GNA14|in vivo|8316840
BHMT|BHMT|in vitro;yeast 2-hybrid|12071701,11223523,12220488,16189514
KLRD1|KLRC2|in vivo|10320637
KLRD1|KLRC3|in vivo|8943374,10201920
TYROBP|KLRC3|in vivo|10201920
KLRD1|KLRD1|in vivo|10023772
TJP2|SAFB|in vitro;in vivo;yeast 2-hybrid|12403786
SAFB2|SAFB|in vitro;in vivo;yeast 2-hybrid|12660241
POLR2A|SAFB|in vitro;in vivo;yeast 2-hybrid|9671816
TAF15|SAFB|in vitro;in vivo|15066997
BAT5|SAFB|yeast 2-hybrid|14667819
SRPK1|SAFB|in vitro;in vivo;yeast 2-hybrid|11509566
MAP2K7|MAPK9|in vitro;in vivo|11062067
MAPK9|BCL2L11|in vitro|12818176
PRKD1|MAPK9|in vivo|11948398
ATF7|MAPK9|in vitro;in vivo|8649858
MAPK9|EEF2K|in vitro|12171600
MAPKAPK5|MAPK9|in vitro;in vivo|9628874
DUSP16|MAPK9|in vitro;in vivo|11359773
MAPK8IP3|MAPK9|in vitro;in vivo|11024282,10523642,10629060,12189133
MAPK9|SH3BP5|in vitro|12167088,15158451
DUSP19|MAPK9|in vitro;in vivo|11959861
MAPKBP1|MAPK9|in vitro|10471813
MAPK10|BCL2L11|in vitro;in vivo|12818176
PRKCZ|HRAS|in vivo|15721486
DUSP16|MAPK10|in vitro|11359773
MAPK10|MAPK8IP3|in vitro;in vivo;yeast 2-hybrid|10523642,10629060,12189133
SH3BP5|MAPK10|in vitro|12167088
DUSP10|MAPK10|in vitro|11359773
MAPKBP1|MAPK10|in vitro;yeast 2-hybrid|10471813
IL8RB|GNAI3|in vivo|8316840
MAPK10|STMN2|in vitro|11718727
MAPK11|EEF2K|in vitro|12171600
HDAC3|MAPK11|in vitro;in vivo;yeast 2-hybrid|15356147
MAPK11|MAPKAPK5|in vitro|9628874
DUSP16|MAPK11|in vitro|11359773
DUSP10|MAPK11|in vitro|11359773
CBX5|DNMT3B|in vivo|12867029
CBX1|DNMT3B|in vivo|12867029
UBE2I|DNMT3B|in vitro;in vivo;yeast 2-hybrid|11735126
DNMT3L|DNMT3B|in vitro;in vivo;yeast 2-hybrid|11934864
NCAPG|DNMT3B|in vitro;in vivo|15148359
ZNF238|DNMT3B|in vitro|11350943
TNPO1|TNPO1|in vitro|10875935,9144189
RPL5|TNPO1|in vitro|9687515
RPS7|TNPO1|in vitro|9687515
NUP153|TNPO1|in vitro|10202161
RPL23A|TNPO1|in vitro|9687515
ELAVL1|TNPO1|in vitro;in vivo|15342649,15037768
SOCS3|IRS2|in vivo|15514089
C5AR1|ARRB1|in vivo|12464600
PGR|KLF9|in vitro;in vivo|12672823
RARA|KLF5|in vitro;in vivo|12101409
SET|KLF5|in vitro;in vivo|14612398
MAPK6|MAPK6|in vitro|11741894,8621539
YRDC|RBBP9|yeast 2-hybrid|12730717
CLDN1|CLDN3|in vivo|12909588,10562289
PLA2G4C|PLA2G4C|in vitro|9202034
MLC1|TPT1|in vitro;in vivo;yeast 2-hybrid|12149273
PLA2R1|PLA2G10|in vitro;in vivo|11019817,10922494
ITGAM|ELA2|in vitro|15718918
ITGAM|THY1|in vitro|15004192
FCGR3A|CD247|in vivo|2138330
FCGR3A|IGHG1|in vitro|15037082
GJA3|PRKCG|in vivo|15467523
STAT3|IGF1R|in vitro;in vivo|11463827
PDC|CRX|in vitro;yeast 2-hybrid|10866677
IL8RB|IL8RA|in vivo|15946947
FBN2|MFAP2|in vitro;yeast 2-hybrid|15044481
RUNX1T1|BCL6|in vitro;in vivo|14551142
CAPN3|DYSF|in vivo|15827562
STAT3|PDGFRB|in vitro|9484840
DGUOK|DGUOK|in vitro|11427893
RABEP1|RABEP1|in vitro|9524117
YWHAG|RABEP1|in vivo|15324660
RAB33B|RABEP1|in vitro;in vivo|11718716
GGA2|RABEP1|in vitro;in vivo;yeast 2-hybrid|12505986,11387476,10747088
HUNK|RABEP1|yeast 2-hybrid|11129044
GGA3|RABEP1|in vivo;yeast 2-hybrid|12505986
RABGEF1|RABEP1|in vitro|12505986
GGA1|RABEP1|in vivo;yeast 2-hybrid|12505986
CDC20|CDC20|in vivo|10377410
PTTG1|CDC20|in vitro;in vivo|11553328
RASSF1|CDC20|in vivo|14743218
FBXO5|CDC20|in vitro;in vivo;yeast 2-hybrid|11988738,11389834,11976684
SOSTDC1|CDC20|in vitro;in vivo;yeast 2-hybrid|15280373
SPATC1|CDC20|in vitro;in vivo;yeast 2-hybrid|15280373
FBXO5|FZR1|in vitro;in vivo|11988738
STAT3|PDGFRA|in vitro|9484840
STAT3|PTMA|in vitro;in vivo;yeast 2-hybrid|15242774
STAT3|IRAK1|in vitro|15465816
STAT3|GATA1|in vitro;in vivo|15673499
STAT3|PTK2B|in vitro|14963038
STAT3|IFNAR2|in vivo|12105218
CENTA1|RPS9|in vitro|12565890
STAT3|HES5|in vitro;in vivo|15156153
PTTG1|RPS10|in vitro;in vivo;yeast 2-hybrid|9915854
RPL5|RPL5|yeast 2-hybrid|15231747
MAP3K14|RPL5|in vivo|14743126
PPM1D|RPL5|in vitro;yeast 2-hybrid|7649987
TNIP1|RPL5|in vitro|9687515
IPO7|RPL5|in vitro|9687515
