gene1|gene2|experiment_type|reference
PIAS3|STAT3|in vivo|11429412,12804609
NDUFA13|STAT3|in vitro;in vivo;yeast 2-hybrid|12628925
STATIP1|STAT3|in vitro;in vivo;yeast 2-hybrid|10954736
BHLHB2|STAT3|in vitro;in vivo;yeast 2-hybrid|15223310
IL23R|STAT3|in vitro;in vivo|12023369
NLK|STAT3|in vitro;in vivo|15764709
ZNF467|STAT3|in vitro;in vivo|12426389
EP300|IRF3|in vitro|9488451
EP300|IRF7|in vitro|12604599
ACTA1|ACTA1|in vitro;yeast 2-hybrid|10366597,12048248
ADSS|ACTA1|in vitro|648524
DNASE1|ACTA1|in vitro;in vivo|11707283,2395459
UTRN|ACTA1|in vitro|12006649
EPB41|ACTA1|in vitro|11071908
EGFR|ACTA1|in vitro;in vivo|1808202,1383230
GSN|ACTA1|in vitro|10583954
GC|ACTA1|in vitro|12119014,12048248,7703225
ITPKA|ACTA1|in vitro|11468283
MYL1|ACTA1|in vitro|11707283
CTTN|ACTA1|in vivo|7680654,11018051
LRP12|ACTN2|in vivo;yeast 2-hybrid|12809483
MYOZ3|ACTN2|in vitro;in vivo|11842093
ACTN1|ACTN1|in vitro;in vivo;yeast 2-hybrid|11470434,12223541,11573089
COL17A1|ACTN1|in vivo;yeast 2-hybrid|11739652
CTNNA1|ACTN1|in vivo|7790378
CDK5|ACTN1|in vitro|12223541
CSRP1|ACTN1|in vitro|10926853
GRIN2A|ACTN1|in vivo|11854440
PYGB|ACTN1|in vivo|12211109
TTN|ACTN1|in vitro;in vivo;yeast 2-hybrid|11305911,11846417
FBP1|ACTN1|in vivo|12507293
LPP|ACTN1|in vitro;in vivo;yeast 2-hybrid|12615977
PTK2|ACTN1|in vivo|11369769
PKN1|ACTN1|in vitro;in vivo;yeast 2-hybrid|11802708,9030526
PKD1|ACTN1|in vitro;in vivo|11113628
ZYX|ACTN1|in vitro;in vivo|10224105,11423549
PLD2|ACTN1|in vitro;in vivo|10801846
CDK5R1|ACTN1|in vitro;in vivo;yeast 2-hybrid|12223541
CDK5R2|ACTN1|in vitro;yeast 2-hybrid|12223541
MYOT|ACTN1|in vivo|12499399,10369880
GIPC1|ACTN1|in vitro;in vivo|10198040
MYOZ2|ACTN1|in vivo|11842093
MYOZ1|ACTN1|in vivo|11842093
PDLIM5|ACTN1|in vitro|10833443
CLIC5|ACTN1|in vitro|10793131
CSRP3|ACTN1|in vivo|12642359
PDLIM1|ACTN1|in vitro;in vivo;yeast 2-hybrid|11110697,11973348
NEBL|ACTN1|in vitro|10470015
SSX2IP|ACTN1|in vitro;in vivo;yeast 2-hybrid|12446711
RAVER1|ACTN1|in vivo|11724819
MYOZ3|ACTN1|in vivo|11842093
BMP2|ACVR1|in vivo|8006002
BMP7|ACVR1|in vivo|8006002
ENG|ACVR1|in vivo|9872992
FNTA|ACVR1|yeast 2-hybrid|8599089
INHBA|ACVR1|in vivo|11266516
INHBB|ACVR1|in vivo|11266516
IGSF1|ACVR1|in vivo|11266516
GDF5|ACVR1|in vivo|8702914
INHBC|ACVR1|in vivo|12651901
ACVR1|SMAD1|in vitro;in vivo|10652350,10583507,9748228,9136927,10085121
SMAD5|ACVR1|in vivo|10652350,10583507,9748228
SMAD9|ACVR1|in vivo|10583507
CDK4|RFC4|in vivo|10353443
PCNA|RFC4|in vitro;in vivo|10051561,12171929
RFC2|RFC4|in vitro;in vivo;yeast 2-hybrid|9488738,8692848,9228079
RFC3|RFC4|in vitro;in vivo|9488738,8692848
